transaction_id,date,year,month,quarter,customer_id,vehicle_platform,build_category,region,gear_category,brand,units_sold,unit_price,total_revenue,customer_age_bracket,purchase_channel,event_influence
TXN-000651,2022-01-01,2022,1,Q1,CUST-00722,Jeep Gladiator,mid,Texas_Mexico_Border,navigation,TomTom,1,396.18,396.18,36-45,dealer,None
TXN-001825,2022-01-02,2022,1,Q1,CUST-00123,RAM 2500,expedition,Southwest,lighting,Diode Dynamics,1,1389.59,1389.59,46-55,dealer,None
TXN-000864,2022-01-02,2022,1,Q1,CUST-00767,Toyota Tundra TRD Pro,baja_prerunner,Texas_Mexico_Border,communication,Midland,1,1586.2,1586.2,26-35,online,None
TXN-002167,2022-01-02,2022,1,Q1,CUST-00714,Land Rover Defender,expedition,Southeast,navigation,Magellan,1,1158.87,1158.87,46-55,in_store,None
TXN-002199,2022-01-03,2022,1,Q1,CUST-00022,Toyota Land Cruiser,expedition,Rocky_Mountain,lighting,Diode Dynamics,1,825.91,825.91,46-55,online,None
TXN-000233,2022-01-04,2022,1,Q1,CUST-00214,Toyota 4Runner,expedition,Southeast,recovery,Factor 55,1,1551.45,1551.45,36-45,online,None
TXN-002886,2022-01-05,2022,1,Q1,CUST-00760,RAM 2500,expedition,Rocky_Mountain,power,Victron,2,1183.22,2366.44,36-45,dealer,None
TXN-001513,2022-01-05,2022,1,Q1,CUST-00010,RAM 2500,expedition,Southwest,communication,Uniden,2,1194.66,2389.32,36-45,online,None
TXN-002814,2022-01-05,2022,1,Q1,CUST-01138,Ford Bronco,mid,Southwest,water_systems,LifeStraw,1,345.43,345.43,26-35,event,None
TXN-003313,2022-01-05,2022,1,Q1,CUST-00797,Ford Bronco,mid,Texas_Mexico_Border,recovery,Factor 55,2,817.33,1634.66,26-35,in_store,None
TXN-003341,2022-01-06,2022,1,Q1,CUST-00964,Ford Bronco,mid,Southeast,wheels_tires,Method Race Wheels,4,1446.7,5786.8,36-45,event,None
TXN-001647,2022-01-06,2022,1,Q1,CUST-00510,Toyota 4Runner,expedition,Southwest,shelter,Front Runner,3,1528.24,4584.72,26-35,in_store,None
TXN-001603,2022-01-07,2022,1,Q1,CUST-00481,Land Rover Defender,expedition,Southeast,power,Redarc,2,1523.38,3046.76,26-35,event,None
TXN-001457,2022-01-07,2022,1,Q1,CUST-01014,Toyota Tacoma,mid,Texas_Mexico_Border,lighting,Diode Dynamics,1,667.28,667.28,26-35,dealer,None
TXN-001514,2022-01-07,2022,1,Q1,CUST-00190,Toyota Tacoma,mid,Southeast,lighting,KC HiLiTES,1,678.99,678.99,18-25,dealer,None
TXN-000633,2022-01-07,2022,1,Q1,CUST-00167,Land Rover Defender,expedition,Rocky_Mountain,suspension,Icon,2,2200.68,4401.36,36-45,event,None
TXN-000754,2022-01-07,2022,1,Q1,CUST-00933,Toyota Land Cruiser,expedition,Southwest,shelter,iKamper,1,3108.04,3108.04,26-35,online,None
TXN-001540,2022-01-08,2022,1,Q1,CUST-00057,Toyota Land Cruiser,expedition,Pacific_Northwest,water_systems,ARB,2,721.15,1442.3,55+,in_store,None
TXN-001835,2022-01-09,2022,1,Q1,CUST-01148,Land Rover Defender,expedition,Texas_Mexico_Border,communication,Midland,3,715.82,2147.46,36-45,online,None
